emp_no,first_name,last_name,birth_date,from_date,to_date,title
110022,Margareta,Markovitch,1956-09-12,1985-01-01,9999-01-01,Manager
110039,Vishwani,Minakawa,1963-06-21,1986-04-12,9999-01-01,Manager
110085,Ebru,Alpin,1959-10-28,1985-01-01,9999-01-01,Manager
110114,Isamu,Legleitner,1957-03-28,1985-01-14,9999-01-01,Manager
110228,Karsten,Sigstam,1958-12-02,1985-08-04,9999-01-01,Manager
110303,Krassimir,Wegerle,1956-06-08,1985-01-01,9999-01-01,Manager
110344,Rosine,Cools,1961-09-07,1985-11-22,9999-01-01,Manager
110420,Oscar,Ghazalie,1963-07-27,1992-02-05,9999-01-01,Manager
110511,DeForest,Hagimont,1957-07-08,1985-01-01,9999-01-01,Manager
110567,Leon,DasSarma,1964-04-25,1986-10-21,9999-01-01,Manager
110725,Peternela,Onuegbe,1961-03-14,1985-01-01,9999-01-01,Manager
110800,Sanjoy,Quadeer,1963-02-07,1986-08-12,9999-01-01,Manager
110854,Dung,Pesch,1960-08-19,1989-06-09,9999-01-01,Manager
111035,Przemyslawa,Kaelbling,1962-02-24,1985-01-01,9999-01-01,Manager
111400,Arie,Staelin,1959-11-09,1985-01-01,9999-01-01,Manager
111784,Marjo,Giarratana,1956-06-14,1988-02-12,9999-01-01,Manager
111877,Xiaobin,Spinelli,1962-10-18,1991-08-17,9999-01-01,Manager
111939,Yuchang,Weedman,1960-03-25,1989-07-10,9999-01-01,Manager
